"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","185","Проверка на авторизацию только с обязательными параметрами(login, password)","tests","Sun Jan 19 12:43:09 MSK 2025","passed","Sun Jan 19 12:43:09 MSK 2025","TestLogin","tests_login","",""
"","0","Проверка возможности создания курьера","tests","Sun Jan 19 12:42:40 MSK 2025","passed","Sun Jan 19 12:42:40 MSK 2025","TestCreateCourier","tests_courier","",""
"","160","Проверка авторизации курьера с параметрами, переданными после регистрации","tests","Sun Jan 19 12:43:08 MSK 2025","passed","Sun Jan 19 12:43:08 MSK 2025","TestLogin","tests_login","",""
"","200","Проверка на отсутствие возможности создания курьера без заполнения одного из обязательных полей","tests","Sun Jan 19 12:42:42 MSK 2025","passed","Sun Jan 19 12:42:42 MSK 2025","TestCreateCourier","tests_courier","",""
"","1","Проверка ожидаемого ответа при успешной регистрации курьера","tests","Sun Jan 19 12:42:41 MSK 2025","passed","Sun Jan 19 12:42:41 MSK 2025","TestCreateCourier","tests_courier","",""
"","0","Проверка возможности указания цвета при создании заказа","tests","Sun Jan 19 12:43:50 MSK 2025","passed","Sun Jan 19 12:43:50 MSK 2025","TestCreateOrders","tests_orders","",""
"","227","проверка на возвращение ошибки при попытке создания пользователя с логином, который уже используется","tests","Sun Jan 19 12:42:43 MSK 2025","passed","Sun Jan 19 12:42:44 MSK 2025","TestCreateCourier","tests_courier","",""
"","188","проверка на отсутствие возможности авторизации с одним неправильным обязательным параметром","tests","Sun Jan 19 12:43:10 MSK 2025","passed","Sun Jan 19 12:43:10 MSK 2025","TestLogin","tests_login","",""
"","0","Проверка возможности указания цвета при создании заказа","tests","Sun Jan 19 12:43:50 MSK 2025","passed","Sun Jan 19 12:43:50 MSK 2025","TestCreateOrders","tests_orders","",""
"","151","проверка на отсутствие возможности авторизации с одним неправильным обязательным параметром","tests","Sun Jan 19 12:43:09 MSK 2025","passed","Sun Jan 19 12:43:10 MSK 2025","TestLogin","tests_login","",""
"","1257","Проверка, что в тело ответа возвращается список заказов","tests","Sun Jan 19 12:43:32 MSK 2025","passed","Sun Jan 19 12:43:34 MSK 2025","TestOrderList","tests_order_list","",""
"","0","Проверка возможности указания цвета при создании заказа","tests","Sun Jan 19 12:43:51 MSK 2025","passed","Sun Jan 19 12:43:51 MSK 2025","TestCreateOrders","tests_orders","",""
"","0","Проверка возможности указания цвета при создании заказа","tests","Sun Jan 19 12:43:49 MSK 2025","passed","Sun Jan 19 12:43:49 MSK 2025","TestCreateOrders","tests_orders","",""
"","0","Проверяется, что тело ответа содержит 'track'","tests","Sun Jan 19 12:43:51 MSK 2025","passed","Sun Jan 19 12:43:51 MSK 2025","TestCreateOrders","tests_orders","",""
"","182","Проверка на отсутствие возможности создания курьера без заполнения одного из обязательных полей","tests","Sun Jan 19 12:42:43 MSK 2025","passed","Sun Jan 19 12:42:43 MSK 2025","TestCreateCourier","tests_courier","",""
"","145","проверка на отсутствие возможности авторизации несуществующего пользователя","tests","Sun Jan 19 12:43:11 MSK 2025","passed","Sun Jan 19 12:43:11 MSK 2025","TestLogin","tests_login","",""
"","170","проверка на отсутствие возможности авторизации без одного поля","tests","Sun Jan 19 12:43:11 MSK 2025","passed","Sun Jan 19 12:43:11 MSK 2025","TestLogin","tests_login","",""
"","177","проверяется, что успешный запрос возвращает id","tests","Sun Jan 19 12:43:12 MSK 2025","passed","Sun Jan 19 12:43:12 MSK 2025","TestLogin","tests_login","",""
"","177","Проверка на отсутствие возможности регистрации двух одинаковых курьеров","tests","Sun Jan 19 12:42:41 MSK 2025","passed","Sun Jan 19 12:42:42 MSK 2025","TestCreateCourier","tests_courier","",""
